en,ru,url
"Laughing, delighting, and rebelling
In all her hopeless, endless angst,
In Mahendzhauri, near Batumi
She stood out lonely on the sand.
She was so dignified and proud —
She thought herself a river, and
She naked went into the water
And touched the sea foam with her hand.
Removing all unneeded dresses,
She elegantly walked across
She was unbuttoning her swimsuit
Her swimsuit on the sand to toss.
The sight of her well-tanned shoulder
Teased, tormented the soul divine
The white was seen between the tanlines
Where evening gown had hid the skin
She laughed in joy, she laughed in pleasure
Splashing her hands across the tide,
And rainbows rolled across her body
From head to shoulder on each side.","Смеясь, ликуя и бунтуя, 
в своей безвыходной тоске, 
в Махинджаури, под Батуми, 
она стояла на песке. 
Она была такая гордая —
вообразив себя рекой, 
она входила в море голая 
и море трогала рукой. 
Освободясь от ситцев лишних, 
так шла и шла наискосок. 
Она расстегивала лифчик, 
чтоб сбросить лифчик на песок. 
И вид ее предплечья смутного 
дразнил и душу бередил. 
Там белое пошло по смуглому, 
где раньше ситец проходил. 
Она смеялася от радости, 
в воде ладонями плеща, 
и перекатывались радуги 
от головы и до плеча.",https://ruverses.com/bella-akhmadulina/laughing-delighting-and-rebelling/
"Don’t give me all of your time,
don’t question me so often.
With eyes so true and faithful
don’t try and catch my hands.
Don’t follow in the Spring
my steps through pools of rain.
I know that of our meeting
nothing will come again.
You think it’s pride that makes
me turn my back on you?
It’s grief, not pride that holds
my head so very straight.","Не уделяй мне много времени,
вопросов мне не задавай.
Глазами добрыми и верными
руки моей не задевай.
Не проходи весной по лужицам,
по следу следа моего.
Я знаю — снова не получится
из этой встречи ничего.
Ты думаешь, что я из гордости
хожу, с тобою не дружу?
Я не из гордости — из горести
так прямо голову держу.",https://ruverses.com/bella-akhmadulina/don-t-spend-much-time-with-me/8956/
"Winter, to me your gestures are
cold and careful: yes, in
winter there is something
gentle as medicine,
or why else would sickness
put out trusting hands
into that season, from its own
torture and darkness?
Weave your magic then
my love, let the kiss
of one curl of ice
brush over my forehead.
Soon I shall trust any
deception, and look without fear
into the eyes of dogs, as I
press close to the trees:
And forgive, playfully, with a
run, turn and jump; and
after a bout of forgiveness
forgive again,
become like a winter’s day:
empty and oval, though
in comparison to such
presence, always small.
I shall turn to nothing, and
so call over the wall,
not some shadow of myself, but light
I shall not block at all.","О жест зимы ко мне, 
холодный и прилежный. 
Да, что-то есть в зиме 
от медицины нежной. 
Иначе как же вдруг 
из темноты и муки 
доверчивый недуг 
к ней обращает руки? 
О милая, колдуй, 
заденет лоб мой снова 
целебный поцелуй 
колечка ледяного. 
И все сильней соблазн 
встречать обман доверьем, 
смотреть в глаза собак 
и приникать, к деревьям. 
Прощать, как бы играть, 
с разбега, с поворота, 
и, завершив прощать, 
простить еще кого-то. 
Сравняться с зимним днем, 
с его пустым овалом, 
и быть всегда при нем 
его оттенком, малым. 
Свести себя на нет, 
чтоб вызвать за стеною 
не тень мою, а свет, 
не заслоненный мною.",https://ruverses.com/bella-akhmadulina/winter/
"There is a freedom blissful in a twilight
From the marked ciphers of a century, of year, day.
When? - that's not important. Here's the entrance, rather,
Into the depth of park, into the fires' flash.
Not in a moisture, satiating flower,
Nor in the trees, full with a feel of love,
There's no any proof of such a century,
Take other one — and live another time.
With a mistake of eye, with error of my spirit
I'm taken back into the alleys old
And stroll them through. An old woman oncoming,
As if she recognized, looks strangely on.
At noon this place is dezerted and empty,
In twilight I can see all wit my eyes:
A house, where a happy family
Irrelevantly and with passion loves,
Where any time a guest is waited for a feast —
To fuss, to redden and to kiss the hands,
Where I was beckoned with a hand to it,
Where never I could be a real guest.
But if there the force to the careless voices
Is given to be silence of sky, waters, —
What fingers babble over the keys of piano? —
What laces are to the grief cicle going?
How did I get their charity of welcome,
That slow, settled by the people, waltz,
The old dance, the old and strange token
Of alien melancholy, of love alien also?
It's possible for my mind and for my ear
To keep a play, where a river acts,
And then an old woman, empty field,
A village with the three blind lights.
There my soul's smile inarticulate are roaming
In state of all-forgetting, so far,
In that land native which's strange, vital error
Will give me foreign land of language and of ground.
But, scared by the dakness, my mind
Gets soberness, but races, wants to know
The clear drawing of the living stuff,
My age, my hour, my table, bed and home.
Yet, straying in the vortex, full of dew,
I hear the wild language (maybe curse?),
Of the transistorized reciever anew,
Clutched in the fists, uncompromising claws.","Есть в сумерках блаженная свобода 
от явных чисел века, года, дня. 
Когда? — Неважно. Вот открытость входа 
в глубокий парк, в далекий мельк огня. 
Ни в сырости, насытившей соцветья, 
ни в деревах, исполненных любви, 
нет доказательств этого столетья, — 
бери себе другое — и живи. 
Ошибкой зренья, заблужденьем духа 
возвращена в аллеи старины, 
бреду по ним. И встречная старуха, 
словно признав, глядит со стороны. 
Средь бела дня пустынно это место. 
Но в сумерках мои глаза вольны 
увидеть дом, где счастливо семейство, 
где невпопад и пылко влюблены, 
где вечно ждут гостей на именины —
шуметь, краснеть и руки целовать, 
где и меня к себе рукой манили, 
где никогда мне гостем не бывать. 
Но коль дано их голосам беспечным 
стать тишиною неба и воды, —
чьи пальчики по клавишам лепечут? —
Чьи кружева вступают в круг беды? 
Как мне досталась милость их привета, 
тот медленный, затеянный людьми, 
старинный вальс, старинная примета 
чужой печали и чужой любви? 
Еще возможно для ума и слуха 
вести игру, где действуют река, 
пустое поле, дерево, старуха, 
деревня в три незрячих огонька. 
Души моей невнятная улыбка 
блуждает там, в беспамятстве, вдали, 
в той родине, чья странная ошибка 
даст мне чужбину речи и земли. 
Но темнотой испуганный рассудок 
трезвеет, рыщет, снова хочет знать 
живых вещей отчетливый рисунок, 
мой век, мой час, мой стол, мою кровать. 
Еще плутая в омуте росистом, 
я слышу, как на диком языке 
мне шлет свое проклятие транзистор, 
зажатый в непреклонном кулаке.",https://ruverses.com/bella-akhmadulina/twilight/4905/
"Click. The bullet was engaged.
The wild candle settled down.
Oh how sorely he had aged.
How long all this had gone on.
Frontiers of old age fell as
he remembered far off days —
his old regimental colours
all the glitter, all the noise.
Old age brings no happiness.
He trudged, trudged out yesterday
for a look at the First ice.
There he loitered, solitary.
Then he started off for home:
heavy footsteps slowed and slowed.
Suddenly in front of him
stood this woman — oh my God:
back it all came — long ago
thunderstorm and deep footprints
and her shoulderline cut low
trimmed with a white cambric flounce.
Why for her here in this spring
was that spring beyond recall?
Eyes so full of suffering
she stood simply by the wall.
So, the mortal shot will boom
rattling the vodka glasses
and his wife's big hand will slam
on the coffin when he passes.
Reading of it in the paper
up will come his shameless friend.
For the solace of the weeper
he will kiss the weeper's hand.
It will pour a drink for him
and his casual glance will range
round to where some medals gleam
on a cushion, dead and strange.","Он приготовил пистолет,
свеча качнулась, продержалась.
Как тяжело он постарел.
Как долго это продолжалось.
И вспомнил он издалека —
там, за пределом постаренья,
знамена своего полка,
сверканья, трубы, построенья.
Не радостно ему стареть.
Вчера побрел, побрел далеко
на первый ледоход смотреть,
стоял там долго, одиноко.
Потом отправился домой,
шаги тяжелые замедлил
и вдруг заметил, Боже мой,
вдруг эту женщину заметил.
И вспомнилось — давным-давно
гроза, глубокий след ботинка,
её плечо обведено
оборкой белого батиста.
Зачем она среди весны
о той весне не вспоминала,
стояла просто у стены,
такая жалкая стояла.
И вот смертельный этот гром
раздастся, задевая рюмки,
и страшно упадут на гроб
жены его большие руки.
Придет его бесстыдный друг,
успевший прочитать в газете.
Для утешенья этих рук
он поцелует руки эти.
Они нальют ему вина,
и взглянет он непринужденно,
как на подушке ордена
горят мертво и отчужденно.",https://ruverses.com/bella-akhmadulina/click-the-bullet-was-engaged/
"Along my street, these steady steps resound  
Year after year: my friends are slowly leaving.
The all-absorbing lightlessness around
Finds ease in seeing me alone and grieving.
Sad, unattended are my friends’ affairs;
Their homes are dull; no song or music sounding;
Degas’ young girls alone, with dainty care,
Fix their blue feathers in the old surrounding.
So be it then, may your defenseless shroud
Stay safe from fear amid night’s darkest season. 
My friends, your eyes are covered by the cloud
Of mystic taste for treachery and treason.
O loneliness! Indeed, your touch is cold!
Of pointless reassurances regardless, 
The metal pair of compasses you hold,
Encircling me with unforgiving hardness.
So call on me and prize my lonely quest!
Spoiled rotten by your nurturing and caring,  
I’ll find the comfort resting on your chest
And wash my cheeks with your blue chillness airing.
Let me tiptoe beneath your rustling trees,
My timid gesture bridging through the distance,
Discover foliage, bring it close, and breathe,
And feel the bliss of castaway existence.
Give me the silence of your reading room,
Your chamber music, elegant and soothing,
And in my wisdom, I'll relinquish soon
Those still alive and those whom I am losing.
Of doleful wisdom I shall learn the worth,
The hidden sense of objects will come clear,
And in an intimate embrace, the earth
Will tell the secrets of her childhood years.
And at that time, from darkness that descends,
From pain, from ignorance of days so olden,
I’ll see the graceful features of my friends 
Coming to light - and then again dissolving.","По улице моей который год
звучат шаги — мои друзья уходят.
Друзей моих медлительный уход
той темноте за окнами угоден.
Запущены моих друзей дела,
нет в их домах ни музыки, ни пенья,
и лишь, как прежде, девочки Дега
голубенькие оправляют перья.
Ну что ж, ну что ж, да не разбудит страх
вас, беззащитных, среди этой ночи.
К предательству таинственная страсть,
друзья мои, туманит ваши очи.
О одиночество, как твой характер крут!
Посверкивая циркулем железным,
как холодно ты замыкаешь круг,
не внемля увереньям бесполезным.
Так призови меня и награди!
Твой баловень, обласканный тобою,
утешусь, прислонясь к твоей груди,
умоюсь твоей стужей голубою.
Дай стать на цыпочки в твоем лесу,
на том конце замедленного жеста
найти листву, и поднести к лицу,
и ощутить сиротство, как блаженство.
Даруй мне тишь твоих библиотек,
твоих концертов строгие мотивы,
и — мудрая — я позабуду тех,
кто умерли или доселе живы.
И я познаю мудрость и печаль,
свой тайный смысл доверят мне предметы.
Природа, прислонясь к моим плечам,
объявит свои детские секреты.
И вот тогда — из слез, из темноты,
из бедного невежества былого
друзей моих прекрасные черты
появятся и растворятся снова.",https://ruverses.com/bella-akhmadulina/along-my-street/364/
"In that month of May, that month of mine,
I felt so easy and so light,
and, spreading above the earth,
the flying weather drew me after.
I was so generous, so generous,
in the joyous foretaste of much song,
and as light-headed as a goldfinch,
I dipped my feathers in the air.
But, thank the Lord, my gaze became
more rigorous and penetrating,
and every sigh and every flight
now costs me more and more.
And I’m privy to the secrets of the day...
Its phenomena are revealed to me.
Smiling like an old ironic Jew,
I observe what’s happening around me.
I see the loudly cawing rooks
above the black snow hanging;
the weary glances of the women
as they stoop above their knitting.
And piping somewhere on a pipe,
unmindful of neat beds of flowers,
a stranger child goes scampering about
and violating their established order.","В тот месяц май, в тот месяц мой
во мне была такая лёгкость
и, расстилаясь над землей,
влекла меня погоды лётность.
Я так щедра была, щедра
в счастливом предвкушенье пенья,
и с легкомыслием щегла
я окунала в воздух перья.
Но, слава Богу, стал мой взор
и проницательней, и строже,
и каждый вздох и каждый взлет
обходится мне всё дороже.
И я причастна к тайнам дня.
Открыты мне его явленья.
Вокруг оглядываюсь я
с усмешкой старого еврея.
Я вижу, как грачи галдят,
над черным снегом нависая,
как скушно женщины глядят,
склонившиеся над вязаньем.
И где-то, в дудочку дудя,
не соблюдая клумб и грядок,
чужое бегает дитя
и нарушает их порядок.",https://ruverses.com/bella-akhmadulina/in-that-month-of-may/
"Her tears affected none —
the tears she had not shed.
Against an ostrich fan
her pallid cheek she laid.
Admirers in the stalls
screwed up a handkerchief:
where crimson curtain palls
her hands brought white relief.
They knew how warm the jewel in
her imitation ring
camellia's endless cool in
her white hands wintering.
But how resigned and fleeting
the handkerchief slipped down
how calm the heart was beating
oblivious of the pain.
People forgave it as
the curtain fell afar:
pale yellow rose bouquets
were piled backstage for her.
Holding the roses, scarce
a petal could she see:
down her cheeks ran the tears
dry tears of mastery.","Никто слезам ее не верил,
и слез она не пролила.
На страусовый белый веер
она щекою прилегла.
Ее поклонники в партере
смотрели, комкая платки,
как на малиновой портьере
белели две ее руки.
Они-то знали жар каменьев
в ее притворных перстеньках
и вечный холодок камелий,
зимующий в ее руках.
Но так смертельно и покорно
платочек выпадал из рук,
и сердце билось так покойно,
не замечая этих мук.
Ему прощали люди это,
и падал занавес вдали,
и бледно-желтых роз букеты
в ее уборную несли.
Она держала эти розы
и различала их едва,
а по щекам катились слезы,
сухие слезы мастерства.",https://ruverses.com/bella-akhmadulina/sarah-bernhardt/
"What makes me different
from the woman with flowers
the girl who laughs and wears
a ring she will resent ? —
Four papered walls where
I return to. feel at home in.
The woman with an ermine
looks away haughtily.
Poor her. She looks away.
What if I scare her off
when she leans out to puff
ash in the bronze ashtray?
Lord, how I pity her
drooping shoulder, pale arm
and thin white neck so warm
beneath the coat of fur!
What if her lower lip curls
into loud, sudden grief
her hand hides in her sleeve
the floor bounces with pearls...","Чем отличаюсь я от женщины с цветком,
от девочки, которая смеется,
которая играет перстеньком,
а перстенек ей в руки не дается?
Я отличаюсь комнатой с обоями,
где так сижу я на исходе дня,
и женщина с манжетами собольими
надменный взгляд отводит от меня.
Как я жалею взгляд ее надменный,
и я боюсь, боюсь ее спугнуть,
когда она над пепельницей медной
склоняется, чтоб пепел отряхнуть.
О, Господи, как я ее жалею,
плечо ее, понурое плечо,
и беленькую, тоненькую шею,
которой так под мехом горячо!
И я боюсь, что вдруг она заплачет,
что губы ее страшно закричат,
что руки в рукава она запрячет
и бусинки по полу застучат...",https://ruverses.com/bella-akhmadulina/what-makes-me-different/
"Your house, all without feeling of misfortune,
Has met me and has smacked me on my cheek.
As if a fish out from water,
Behind the glass looked a tea service.
A dog has leaped out to me,
As small jackdaw, and yelling,
Defenseless burs, all with thorn's heap,
Were sitting there on the window.
From all the suffers of the world
I was the delegate, though frozen,
The house looked at me, it was
So kind and delicate, consoling.
It had not drawn any shame on head,
It was like being frank, not lying.
He swore to me, he never had
Seen a woman ever either.
He said: — I'm empty, void.
I said: — It's there, there...
He said: — Then let. Let go.
Let enter and forget forever.
Oh, how at first I was afraid
To find a handkerchif, a sign,
But house reiterated that
Words and all things shuffled.
He swept her traces, and completely,
He was so perfect in a sham,
That here never falled a tear,
No any elbow leaned at.
As if the thourough surf had washed
All imprints of her shoes entirely,
The empty plate, a button 'f glove,
All presence of her being.
They all agreed: the dog forgot
With whom he'd played, the nail
So small was unaware also,
Who fastened him, and answered vague.
So were the mirrors hollow all,
As if the snow falled, then melted,
No any flower could recall,
Who in a cut glass placed them...
Oh, th' alien house! Lovely house!
Farewell! I ask you only a little:
Don't be so kind. Don't be so kind.
Don't comfort me with your deceit grim.","Твой дом, не ведая беды,
меня встречал и в щеку чмокал.
Как будто рыба из воды,
сервиз выглядывал из стекол.
И пес выскакивал ко мне,
как галка маленький, орущий,
и в беззащитном всеоружьи
торчали кактусы в окне.
От неурядиц всей земли
я шла озябшим делегатом,
и дом смотрел в глаза мои
и добрым был и деликатным.
На голову мою стыда
он не навлек, себя не выдал.
Дом клялся мне, что никогда
он этой женщины не видел.
Он говорил: — Я пуст, Я пуст. —
Я говорила: — Где-то, где-то… —
Он говорил: — И пусть. И пусть.
Входи и позабудь про это.
О, как боялась я сперва
платка или иной приметы,
но дом твердил свои слова,
перетасовывал предметы.
Он заметал ее следы.
О, как он притворился ловко,
что здесь не падало слезы,
не облокачивалось локтя.
Как будто тщательный прибой
смыл все: и туфель отпечатки,
и тот пустующий прибор,
и пуговицу от перчатки.
Все сговорились: пес забыл,
с кем он играл, и гвоздик малый
не ведал, кто его забил,
и мне давал ответ туманный.
Так были зеркала пусты,
как будто выпал снег и стаял.
Припомнить не могли цветы,
кто их в стакан граненый ставил…
О дом чужой! О милый дом!
Прощай! Прошу тебя о малом:
не будь так добр. Не будь так добр.
Не утешай меня обманом.",https://ruverses.com/bella-akhmadulina/your-house/10625/
